scenario,seed,cca,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,jain_fairness,handovers
leo_fast_ho,13,CUBIC,4.089066666666667,88.32449596814612,143.3799930481575,143.3799930481575,0.001926631779010128,1.0,7
leo_fast_ho,13,BBRv3approx,68.18037333333332,114.20240313051094,153.3799930481555,153.3799930481555,0.01470867059329493,1.0,7
leo_fast_ho,13,LeoAware,67.10901333333332,114.14889986406399,153.3799930481555,153.3799930481555,0.012803876310788992,1.0,7
leo_fast_ho,7,CUBIC,5.653546666666667,70.25599644991397,137.97001084335162,137.9700108433523,0.0015259122506263777,1.0,7
leo_fast_ho,7,BBRv3approx,56.12032,88.98565776922598,151.97001084334883,153.97001084335483,0.01819627191959379,1.0,7
leo_fast_ho,7,LeoAware,55.53973333333334,87.98764049004959,145.97001084335358,151.97001084335452,0.011797282601475419,1.0,7
leo_fast_ho,42,CUBIC,5.62144,66.23467291780584,114.35356976583265,183.95109455908928,0.0015346140729794247,1.0,7
leo_fast_ho,42,BBRv3approx,48.66656,90.92381740496852,183.95109455908928,185.95109455908747,0.01954678786706637,1.0,7
leo_fast_ho,42,LeoAware,50.69578666666666,94.38968942331906,185.9510945590903,187.9510945590913,0.008712065908853895,1.0,7
leo_fast_ho,99,CUBIC,5.604586666666667,71.64089225576762,123.28013469403787,123.28013469403787,0.001596138864081175,1.0,7
leo_fast_ho,99,BBRv3approx,74.31274666666667,94.51607065242914,126.13995208726759,126.13995208726759,0.014153426425389566,1.0,7
leo_fast_ho,99,LeoAware,74.25696,94.38835959500177,126.13995208726759,126.13995208726759,0.01252361742327529,1.0,7
leo_fast_ho,123,CUBIC,6.851946666666667,60.51078710553806,132.99711151443577,132.99711151443577,0.001368052856587641,1.0,6
leo_fast_ho,123,BBRv3approx,43.77248,70.74228046686157,148.99711151444396,150.99711151444498,0.023644734181130368,1.0,6
leo_fast_ho,123,LeoAware,43.757333333333335,70.1440307706852,148.99711151444396,150.99711151444498,0.017822725651173536,1.0,6
leo_single,13,CUBIC,5.663786666666667,84.352998854132,138.92487031746043,143.3799930481589,0.0012414415770069971,1.0,4
leo_single,13,BBRv3approx,72.41408,108.80966441182824,151.379993048163,153.379993048164,0.013369065560595337,1.0,4
leo_single,13,LeoAware,70.38293333333333,108.5887451546604,151.379993048163,153.379993048164,0.010906648918628845,1.0,4
leo_single,7,CUBIC,6.913066666666667,64.19493497957485,137.97001084335162,137.97001084335162,0.0010481210888128487,1.0,4
leo_single,7,BBRv3approx,58.42517333333333,86.28629041546168,153.9700108433484,153.9700108433484,0.017053723806122686,1.0,4
leo_single,7,LeoAware,58.446506666666664,85.85586454770622,151.97001084334883,153.9700108433484,0.012825756006161551,1.0,4
leo_single,42,CUBIC,8.171626666666667,59.644663211577814,114.35356976583408,114.35356976583408,0.0008868369915359235,1.0,4
leo_single,42,BBRv3approx,41.8352,70.26780305141459,130.35356976584225,132.35356976584328,0.023629750782306065,1.0,4
leo_single,42,LeoAware,41.68810666666666,69.48083992791494,130.35356976584225,132.35356976584328,0.01365347923964506,1.0,4
leo_single,99,CUBIC,7.648533333333333,65.94343866222113,113.42684704529492,120.13995208727022,0.0009195914784522997,1.0,4
leo_single,99,BBRv3approx,75.40032,86.98304008704683,115.42684704529523,126.13995208727327,0.011938458441836183,1.0,4
leo_single,99,LeoAware,74.7072,86.54377099750374,115.42684704529523,126.13995208727327,0.009712279550766421,1.0,4
leo_single,123,CUBIC,8.484266666666667,54.990411793045084,68.17636777053893,68.17636777053893,0.001054958304028936,1.0,4
leo_single,123,BBRv3approx,47.59168,63.26158544296223,75.10306742658645,75.10306742658645,0.02117054464242621,1.0,4
leo_single,123,LeoAware,47.575786666666666,62.3246523879023,74.17636777054199,74.17636777054199,0.011870238224471122,1.0,4
terrestrial,13,CUBIC,14.02096,42.00652737045099,42.00000000000031,42.00000000000031,0.0005132533418495369,1.0,0
terrestrial,13,BBRv3approx,78.91376,44.98698528621597,46.000000000000945,46.000000000000945,0.012276180005246915,1.0,0
terrestrial,13,LeoAware,78.63056,44.79759727006876,46.000000000000945,46.000000000000945,0.010793010509195797,1.0,0
terrestrial,7,CUBIC,12.74464,42.01235342857852,42.00000000000031,42.00000000000031,0.0006022433565029735,1.0,0
terrestrial,7,BBRv3approx,78.91088,44.98700914246524,46.000000000000945,46.000000000000945,0.012312227515865911,1.0,0
terrestrial,7,LeoAware,78.62528,44.78327988148313,46.000000000000945,46.000000000000945,0.010859435228853288,1.0,0
terrestrial,42,CUBIC,13.05776,42.00610211858685,42.00000000000031,42.00000000000031,0.000514371792830637,1.0,0
terrestrial,42,BBRv3approx,78.91152,44.986924089156794,46.000000000000945,46.000000000000945,0.012294326866078151,1.0,0
terrestrial,42,LeoAware,78.66768,44.76581386409232,46.000000000000945,46.000000000000945,0.010660581804572097,1.0,0
terrestrial,99,CUBIC,14.53744,42.013493434882534,42.00000000000031,42.00000000000031,0.0004620411216598277,1.0,0
terrestrial,99,BBRv3approx,78.91488,44.98702804844888,46.000000000000945,46.000000000000945,0.012258205347469355,1.0,0
terrestrial,99,LeoAware,78.63776,44.81979954668061,46.000000000000945,46.000000000000945,0.01079999677972515,1.0,0
terrestrial,123,CUBIC,12.156,42.01332017110882,42.00000000000031,42.00000000000031,0.000683967537848396,1.0,0
terrestrial,123,BBRv3approx,78.91072,44.98702330938024,46.000000000000945,46.000000000000945,0.012304340163737444,1.0,0
terrestrial,123,LeoAware,78.62544,44.79263912545326,46.000000000000945,46.000000000000945,0.010849458231598694,1.0,0
