scenario,cca,goodput_mean,goodput_std,p95_mean,p95_std,loss_mean,n
leo_fast_ho,BBRv3approx,70.88189866666667,11.470543079196283,138.83293205525692,33.02355999738642,0.01473490169902705,5
leo_fast_ho,CUBIC,5.472512,0.8610311838255337,124.80640476659596,13.594684650474065,0.0017419674653645911,5
leo_fast_ho,LeoAware,68.97646933333333,5.249212249474732,133.62695146310858,27.342175708721637,0.011369044492786229,5
leo_multi,BBRv3approx,11.714944000000001,9.971728076307265,135.98889597087253,37.44337932022718,0.10588505861301127,15
leo_multi,CUBIC,7.642097777777778,1.2169807217543325,147.22284012688047,34.88605278305895,0.0008473692163345555,15
leo_multi,LeoAware,22.075776,18.87715701785909,103.39077705846458,39.67210182270735,0.1978049226751318,15
leo_multi,LeoAware_fair,22.441052444444445,19.562383549111583,127.92603555253201,24.89957693139407,0.13399105006803097,15
leo_single,BBRv3approx,58.38786133333333,8.184883526076053,131.32680170249688,28.735776245560697,0.015969031322203554,5
leo_single,CUBIC,7.409024,1.4247727892591624,132.71971483591628,25.74780012187097,0.0008844511346069401,5
leo_single,LeoAware,67.07650133333333,11.015814382272222,150.85930958436447,26.583987325828364,0.007035363130647393,5
terrestrial,BBRv3approx,78.812128,0.0019179989572467814,40.0,0.0,0.012272010365802909,5
terrestrial,CUBIC,13.915808000000002,0.8774463413337595,40.0,0.0,0.0005192575020772632,5
terrestrial,LeoAware,77.5864,0.15629072397298294,40.0,0.0,0.0007241324975755629,5
