era,window_id,cca,buffer_bytes,send_ceiling_mbps,spike_hold,spike_holds,reconfigs_detected,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,handovers,soft_qir_alpha
wetlinks_v1,w1_enschede_20231110T091227,CUBIC,1000000,800.0,False,0,0,209.02826666666667,60.73500000000102,58.735,2.000000000001022,2.0031944642896375,1,0.2
wetlinks_v1,w1_enschede_20231110T091227,BBRv3approx,1000000,800.0,False,0,0,389.24032,62.73500000000205,58.735,4.000000000002051,4.033334539101265,1,0.2
wetlinks_v1,w1_enschede_20231110T091227,LeoAware,1000000,800.0,True,1,1,391.7697066666667,62.73500000000205,58.735,4.000000000002051,3.9660774860663763,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,CUBIC,1000000,800.0,False,0,0,3.5234133333333335,54.09900000000102,52.099,2.000000000001022,2.0000000000001776,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,BBRv3approx,1000000,800.0,False,0,0,396.8421333333333,56.09900000000204,52.099,4.000000000002044,3.9258326064843954,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,LeoAware,1000000,800.0,True,1,64,399.19477333333333,56.09900000000204,52.099,4.000000000002044,3.8092469346964033,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,CUBIC,1000000,800.0,False,0,0,64.94101333333333,92.23799999999521,68.238,23.999999999995218,18.091767380286438,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,BBRv3approx,1000000,800.0,False,0,0,64.72170666666666,93.23799999999999,68.238,24.999999999999993,18.54749936549044,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,LeoAware,1000000,800.0,True,1,1,64.95328,93.23799999999999,68.238,24.999999999999993,24.18413891749246,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,CUBIC,1000000,800.0,False,0,0,190.09013333333334,72.86000000000409,64.86,8.000000000004087,4.400462377146344,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,BBRv3approx,1000000,800.0,False,0,0,189.87829333333335,74.86000000000156,64.86,10.000000000001563,8.233548619776382,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,LeoAware,1000000,800.0,True,1,0,191.70048,74.86000000000156,64.86,10.000000000001563,8.275643336939801,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,CUBIC,1000000,800.0,False,0,0,3.5234133333333335,61.95200000000102,59.952,2.000000000001022,2.0000000000001776,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,BBRv3approx,1000000,800.0,False,0,0,161.73493333333334,69.95200000000511,59.952,10.000000000005123,9.681886741434719,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,LeoAware,1000000,800.0,True,0,64,162.51861333333335,69.95200000000511,59.952,10.000000000005123,8.297229215838103,1,0.2
