scenario,seed,variant,path_profile,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,use_ca,use_dlc,use_lsg,use_anticipator,handovers
leo_fast_ho,13,BBRv3approx,starlink_v1,97.31434666666667,72.21163933117715,68.2116393311751,7.999999999998411,,,,,7
leo_fast_ho,13,v37_oce,starlink_v1,96.75712,72.21163933117715,68.2116393311751,7.999999999998411,False,False,False,False,7
leo_fast_ho,13,ca,starlink_v1,96.75712,72.21163933117715,68.2116393311751,7.999999999998411,True,False,False,False,7
leo_fast_ho,13,ca_dlc_lsg,starlink_v1,96.00501333333332,72.21163933117715,68.2116393311751,7.999999999998411,True,True,True,False,7
leo_fast_ho,13,v39_full,starlink_v1,96.64842666666667,72.21163933117715,68.2116393311751,7.999999999998411,True,True,True,True,7
leo_fast_ho,7,BBRv3approx,starlink_v1,75.08416,67.81399906136456,63.81399906136251,10.000000000001563,,,,,8
leo_fast_ho,7,v37_oce,starlink_v1,75.03722666666667,67.81399906136456,63.81399906136251,10.000000000001563,False,False,False,False,8
leo_fast_ho,7,ca,starlink_v1,75.03722666666667,67.81399906136456,63.81399906136251,10.000000000001563,True,False,False,False,8
leo_fast_ho,7,ca_dlc_lsg,starlink_v1,75.01813333333332,67.81399906136456,63.81399906136251,10.000000000001563,True,True,True,False,8
leo_fast_ho,7,v39_full,starlink_v1,75.01333333333334,67.81399906136456,63.81399906136251,10.000000000001563,True,True,True,True,8
leo_fast_ho,42,BBRv3approx,starlink_v1,81.2496,97.55511216494665,87.55511216494864,9.99999999999801,,,,,7
leo_fast_ho,42,v37_oce,starlink_v1,81.09589333333332,97.55511216494665,87.55511216494864,9.999999999998003,False,False,False,False,7
leo_fast_ho,42,ca,starlink_v1,81.09589333333332,97.55511216494665,87.55511216494864,9.999999999998003,True,False,False,False,7
leo_fast_ho,42,ca_dlc_lsg,starlink_v1,80.67722666666667,97.55511216494665,87.55511216494864,9.999999999998003,True,True,True,False,7
leo_fast_ho,42,v39_full,starlink_v1,80.67370666666667,97.55511216494665,87.55511216494864,9.999999999998003,True,True,True,True,7
leo_fast_ho,99,BBRv3approx,starlink_v1,72.98186666666668,64.09179554502283,58.70085099956821,10.000000000005116,,,,,7
leo_fast_ho,99,v37_oce,starlink_v1,72.92277333333332,64.09179554502283,58.70085099956821,10.000000000005116,False,False,False,False,7
leo_fast_ho,99,ca,starlink_v1,72.92277333333332,64.09179554502283,58.70085099956821,10.000000000005116,True,False,False,False,7
leo_fast_ho,99,ca_dlc_lsg,starlink_v1,72.8912,64.09179554502283,58.70085099956821,10.000000000005116,True,True,True,False,7
leo_fast_ho,99,v39_full,starlink_v1,72.82581333333333,64.09179554502283,58.70085099956821,10.000000000005116,True,True,True,True,7
leo_fast_ho,123,BBRv3approx,starlink_v1,85.56522666666667,81.64786586311642,75.64786586311762,9.99999999999801,,,,,8
leo_fast_ho,123,v37_oce,starlink_v1,85.59264,81.64786586311642,75.64786586311762,9.99999999999801,False,False,False,False,8
leo_fast_ho,123,ca,starlink_v1,85.59669333333333,81.64786586311642,75.64786586311762,9.99999999999801,True,False,False,False,8
leo_fast_ho,123,ca_dlc_lsg,starlink_v1,85.32821333333332,79.6478658631168,75.64786586311762,9.99999999999801,True,True,True,False,8
leo_fast_ho,123,v39_full,starlink_v1,85.17184,79.6478658631168,75.64786586311762,9.99999999999801,True,True,True,True,8
