variant,goodput_mean,goodput_std,p95_mean,p95_std,p95_path_mean,p95_excess_mean,n,gp_ge_75,p95_le_138_8,dual_gate
BBRv3approx,82.43904,9.695294558275851,76.66408239312553,13.392944442810668,70.7858934840344,9.600000000000222,5,True,True,True
ca,82.28194133333332,9.513214550894052,76.66408239312553,13.392944442810668,70.7858934840344,9.600000000000222,5,True,True,True
ca_dlc_lsg,81.98395733333334,9.228793860870205,76.2640823931256,13.235829304513672,70.7858934840344,9.600000000000222,5,True,True,True
v37_oce,82.28113066666666,9.512861634642746,76.66408239312553,13.392944442810668,70.7858934840344,9.600000000000222,5,True,True,True
v39_full,82.066624,9.478304768251434,76.2640823931256,13.235829304513672,70.7858934840344,9.600000000000222,5,True,True,True
