scenario,cca,flow,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,utilization,jain_fairness,handovers
leo_single,CUBIC,CUBIC,9.0416,55.53536817694823,111.19278391772865,111.19278391772865,0.0010488603955028637,0.12916571428571427,1.0,4
leo_single,BBRv3approx,BBRv3approx,83.98762666666667,97.11889521354261,161.8118548681738,161.8118548681738,0.012687115518205597,1.1998232380952383,1.0,4
leo_single,LeoAware,LeoAware,81.97184,86.08912315410561,141.09297535287425,141.09297535287425,0.007780383002458322,1.1710262857142857,1.0,3
leo_fast_ho,CUBIC,CUBIC,6.4432,65.3908431162401,134.3366976352642,141.6417889240662,0.0014216990957332497,0.09204571428571429,1.0,7
leo_fast_ho,BBRv3approx,BBRv3approx,65.38112,116.1683891631563,188.6213259473495,188.6213259473495,0.011780638608314322,0.934016,1.0,7
leo_fast_ho,LeoAware,LeoAware,70.36106666666667,84.8286074728002,123.20948638632946,123.20948638632946,0.006280468331013371,1.0051580952380954,1.0,7
leo_multi,CUBIC,CUBIC,10.3984,55.72975638820876,88.46028275406752,140.38967988654068,0.0005638712323149477,0.14854857142857142,0.9851604783240036,3
leo_multi,CUBIC,CUBIC,8.425813333333334,59.88441483523588,88.46028275406752,140.38967988654068,0.000847468346424822,0.12036876190476191,0.9851604783240036,3
leo_multi,CUBIC,CUBIC,7.84992,58.57928272876152,88.46028275406752,140.38967988654068,0.0008824567596187787,0.11214171428571429,0.9851604783240036,3
leo_multi,BBRv3approx,BBRv3approx,15.646826666666666,39.44462500279547,35.0,147.02749915257218,0.001177976603886642,0.22352609523809522,0.5930293506888376,3
leo_multi,BBRv3approx,BBRv3approx,6.46336,77.10417881388128,147.02749915257218,153.22512219805108,0.03614036203989438,0.09233371428571428,0.5930293506888376,3
leo_multi,BBRv3approx,BBRv3approx,0.4794666666666667,75.49437999777999,153.22512219805108,153.22512219805108,0.3337779753964725,0.00684952380952381,0.5930293506888376,3
leo_multi,LeoAware,LeoAware,44.01674666666666,82.84263257006927,160.80984804401066,160.80984804401066,0.0014301339631407775,0.6288106666666666,0.46847263144783935,3
leo_multi,LeoAware,LeoAware,8.93536,80.68036607829028,160.80984804401066,160.80984804401066,0.09220065671835885,0.127648,0.46847263144783935,3
leo_multi,LeoAware,LeoAware,0.29536,119.12190479866062,160.80984804401066,160.80984804401066,0.7466605672461116,0.004219428571428571,0.46847263144783935,3
terrestrial,CUBIC,CUBIC,13.3392,39.99999999999999,40.0,40.0,0.0005514529586650043,0.19056,1.0,0
terrestrial,BBRv3approx,BBRv3approx,78.80624,40.000000000000014,40.0,40.0,0.012336296424038131,1.1258034285714287,1.0,0
terrestrial,LeoAware,LeoAware,77.38768,40.00000000000002,40.0,40.0,0.0007685235876829634,1.1055382857142857,1.0,0
leo_isl,CUBIC,CUBIC,8.062933333333334,57.75120109484611,117.83326627102015,122.21054983250816,0.0008987813582172408,0.1151847619047619,1.0,4
leo_isl,BBRv3approx,BBRv3approx,82.48149333333333,84.81270187988382,122.65991607660222,122.65991607660222,0.00940678215798731,1.1783070476190476,1.0,3
leo_isl,LeoAware,LeoAware,74.03029333333333,86.35615982784921,121.40078999983301,121.40078999983301,0.007350112203989571,1.0575756190476189,1.0,4
