t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
0.0000,38.595,20.3976,20.3976,0.000000,0
0.0500,26.862,20.3976,20.3976,0.000000,0
0.1000,30.604,18.3750,18.3750,0.000000,0
0.1500,30.994,18.3750,18.3750,0.000000,0
0.2000,33.154,27.5070,27.5070,0.000000,0
0.2500,34.232,27.5070,27.5070,0.000000,0
0.3000,30.782,20.8965,20.8965,0.000000,0
0.3500,29.416,20.8965,20.8965,0.000000,0
0.4000,30.932,24.6672,24.6672,0.000000,0
0.4500,27.581,24.6672,24.6672,0.000000,0
0.5000,32.022,36.9415,36.9415,0.000000,0
0.5500,33.476,36.9415,36.9415,0.000000,0
0.6000,27.775,38.5459,38.5459,0.000000,0
0.6500,31.250,38.5459,38.5459,0.000000,0
0.7000,31.493,44.7730,44.7730,0.000000,0
0.7500,32.227,44.7730,44.7730,0.000000,0
0.8000,33.222,51.3849,51.3849,0.000000,0
0.8500,35.798,51.3849,51.3849,0.000000,0
0.9000,31.513,34.1374,34.1374,0.000000,0
0.9500,27.857,34.1374,34.1374,0.000000,0
1.0000,26.623,41.0013,41.0013,0.000000,0
1.0500,25.057,41.0013,41.0013,0.000000,0
1.1000,30.338,45.2133,45.2133,0.000000,0
1.1500,28.072,45.2133,45.2133,0.000000,0
1.2000,32.693,59.6568,59.6568,0.000000,0
1.2500,29.400,59.6568,59.6568,0.000000,0
1.3000,39.570,67.3594,67.3594,0.000000,0
1.3500,48.039,67.3594,67.3594,0.000000,0
1.4000,77.707,94.2495,94.2495,0.000000,0
1.4500,67.825,94.2495,94.2495,0.000000,0
1.5000,28.728,88.7825,88.7825,0.000000,0
1.5500,27.777,88.7825,88.7825,0.000000,0
1.6000,28.050,104.6487,104.6487,0.000000,0
1.6500,34.603,104.6487,104.6487,0.000000,0
1.7000,27.642,90.8260,90.8260,0.000000,0
1.7500,38.079,90.8260,90.8260,0.000000,0
1.8000,39.669,101.8229,101.8229,0.000000,0
1.8500,30.452,101.8229,101.8229,0.000000,0
1.9000,31.162,115.9432,115.9432,0.000000,0
1.9500,27.584,115.9432,115.9432,0.000000,0
2.0000,35.998,89.2716,89.2716,0.000000,0
2.0500,37.844,89.2716,89.2716,0.000000,0
2.1000,27.894,133.4247,133.4247,0.000000,0
2.1500,42.096,133.4247,133.4247,0.000000,0
2.2000,45.432,83.8670,83.8670,0.000000,0
2.2500,37.219,83.8670,83.8670,0.000000,0
2.3000,41.798,95.8379,95.8379,0.000000,0
2.3500,29.929,95.8379,95.8379,0.000000,0
2.4000,35.331,68.5923,68.5923,0.000000,0
2.4500,29.942,68.5923,68.5923,0.000000,0
2.5000,47.747,90.9696,90.9696,0.000000,0
2.5500,31.257,90.9696,90.9696,0.000000,0
2.6000,32.377,98.8999,98.8999,0.000000,0
2.6500,34.315,98.8999,98.8999,0.000000,0
2.7000,31.776,70.8929,70.8929,0.000000,0
2.7500,40.799,70.8929,70.8929,0.000000,0
2.8000,36.440,87.1964,87.1964,0.000000,0
2.8500,39.936,87.1964,87.1964,0.000000,0
2.9000,30.024,83.9703,83.9703,0.000000,0
2.9500,38.347,83.9703,83.9703,0.000000,0
3.0000,33.503,85.3214,85.3214,0.000000,0
3.0500,31.751,85.3214,85.3214,0.000000,0
3.1000,32.829,86.7779,86.7779,0.000000,0
3.1500,35.614,86.7779,86.7779,0.000000,0
3.2000,46.089,81.6854,81.6854,0.000000,0
3.2500,34.162,81.6854,81.6854,0.000000,0
3.3000,35.284,86.7103,86.7103,0.000000,0
3.3500,37.530,86.7103,86.7103,0.000000,0
3.4000,26.646,63.9488,63.9488,0.000000,0
3.4500,47.803,63.9488,63.9488,0.000000,0
3.5000,37.036,88.3830,88.3830,0.000000,0
3.5500,38.350,88.3830,88.3830,0.000000,0
3.6000,39.978,77.3293,77.3293,0.000000,0
3.6500,29.835,77.3293,77.3293,0.000000,0
3.7000,31.204,67.6953,67.6953,0.000000,0
3.7500,37.619,67.6953,67.6953,0.000000,0
3.8000,33.595,64.0928,64.0928,0.000000,0
3.8500,53.546,64.0928,64.0928,0.000000,0
3.9000,38.214,64.4604,64.4604,0.000000,0
3.9500,35.364,64.4604,64.4604,0.000000,0
4.0000,33.545,64.6705,64.6705,0.000000,0
4.0500,37.396,64.6705,64.6705,0.000000,0
4.1000,33.916,67.3607,67.3607,0.000000,0
4.1500,29.036,67.3607,67.3607,0.000000,0
4.2000,35.537,76.2432,76.2432,0.000000,0
4.2500,32.608,76.2432,76.2432,0.000000,0
4.3000,48.218,69.5760,69.5760,0.000000,0
4.3500,39.696,69.5760,69.5760,0.000000,0
4.4000,31.973,73.6091,73.6091,0.000000,0
4.4500,31.010,73.6091,73.6091,0.000000,0
4.5000,33.618,72.5550,72.5550,0.000000,0
4.5500,34.030,72.5550,72.5550,0.000000,0
