t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
0.0000,30.252,17.1436,17.1436,0.000000,0
0.0500,28.218,17.1436,17.1436,0.000000,0
0.1000,42.769,18.4534,18.4534,0.000000,0
0.1500,29.250,18.4534,18.4534,0.000000,0
0.2000,42.720,18.2466,18.2466,0.000000,0
0.2500,30.362,18.2466,18.2466,0.000000,0
0.3000,34.258,20.7274,20.7274,0.000000,0
0.3500,31.803,20.7274,20.7274,0.000000,0
0.4000,39.553,25.9370,25.9370,0.000000,0
0.4500,32.471,25.9370,25.9370,0.000000,0
0.5000,42.349,27.3031,27.3031,0.000000,0
0.5500,39.867,27.3031,27.3031,0.000000,0
0.6000,43.287,31.3130,31.3130,0.000000,0
0.6500,29.871,31.3130,31.3130,0.000000,0
0.7000,28.002,33.9463,33.9463,0.000000,0
0.7500,32.347,33.9463,33.9463,0.000000,0
0.8000,29.449,39.7327,39.7327,0.000000,0
0.8500,28.281,39.7327,39.7327,0.000000,0
0.9000,52.683,43.0293,43.0293,0.000000,0
0.9500,29.226,43.0293,43.0293,0.000000,0
1.0000,37.590,37.5190,37.5190,0.000000,0
1.0500,35.289,37.5190,37.5190,0.000000,0
1.1000,27.355,50.2640,50.2640,0.000000,0
1.1500,37.601,50.2640,50.2640,0.000000,0
1.2000,29.492,53.2449,53.2449,0.000000,0
1.2500,32.758,53.2449,53.2449,0.000000,0
1.3000,31.539,60.1930,60.1930,0.000000,0
1.3500,34.800,60.1930,60.1930,0.000000,0
1.4000,37.404,47.6772,47.6772,0.000000,0
1.4500,35.990,47.6772,47.6772,0.000000,0
1.5000,33.843,64.6755,64.6755,0.000000,0
1.5500,36.642,64.6755,64.6755,0.000000,0
1.6000,29.641,42.9420,42.9420,0.000000,0
1.6500,33.367,42.9420,42.9420,0.000000,0
1.7000,41.112,66.2965,66.2965,0.000000,0
1.7500,29.829,66.2965,66.2965,0.000000,0
1.8000,32.650,55.1666,55.1666,0.000000,0
1.8500,31.407,55.1666,55.1666,0.000000,0
1.9000,28.803,36.2821,36.2821,0.000000,0
1.9500,37.798,36.2821,36.2821,0.000000,0
2.0000,30.004,53.7357,53.7357,0.000000,0
2.0500,38.452,53.7357,53.7357,0.000000,0
2.1000,36.588,53.9628,53.9628,0.000000,0
2.1500,28.832,53.9628,53.9628,0.000000,0
2.2000,38.391,42.3751,42.3751,0.000000,0
2.2500,36.769,42.3751,42.3751,0.000000,0
2.3000,28.596,45.2229,45.2229,0.000000,0
2.3500,47.887,45.2229,45.2229,0.000000,0
2.4000,29.822,33.2707,33.2707,0.000000,0
2.4500,33.025,33.2707,33.2707,0.000000,0
2.5000,31.686,37.9620,37.9620,0.000000,0
2.5500,39.455,37.9620,37.9620,0.000000,0
2.6000,43.673,35.0366,35.0366,0.000000,0
2.6500,51.783,35.0366,35.0366,0.000000,0
2.7000,27.126,38.4748,38.4748,0.000000,0
2.7500,37.592,38.4748,38.4748,0.000000,0
2.8000,29.868,14.5066,14.5066,0.000000,0
2.8500,43.137,14.5066,14.5066,0.000000,0
2.9000,42.574,38.0723,38.0723,0.000000,0
2.9500,35.254,38.0723,38.0723,0.000000,0
3.0000,28.245,21.5736,21.5736,0.000000,0
3.0500,36.931,21.5736,21.5736,0.000000,0
3.1000,44.757,23.7314,23.7314,0.000000,0
3.1500,47.797,23.7314,23.7314,0.000000,0
3.2000,35.405,26.6222,26.6222,0.000000,0
3.2500,27.868,26.6222,26.6222,0.000000,0
3.3000,47.070,31.7445,31.7445,0.000000,0
3.3500,44.857,31.7445,31.7445,0.000000,0
3.4000,38.621,27.2586,27.2586,0.000000,0
3.4500,61.789,27.2586,27.2586,0.000000,0
3.5000,65.098,29.9802,29.9802,0.000000,0
3.5500,31.571,29.9802,29.9802,0.000000,0
3.6000,35.109,34.5997,34.5997,0.000000,0
3.6500,38.858,34.5997,34.5997,0.000000,0
3.7000,37.135,31.7524,31.7524,0.000000,0
3.7500,44.602,31.7524,31.7524,0.000000,0
3.8000,48.634,22.9501,22.9501,0.000000,0
3.8500,57.275,22.9501,22.9501,0.000000,0
3.9000,27.775,33.8735,33.8735,0.000000,0
3.9500,47.331,33.8735,33.8735,0.000000,0
4.0000,35.562,21.2376,21.2376,0.000000,0
4.0500,27.373,21.2376,21.2376,0.000000,0
4.1000,36.319,31.5031,31.5031,0.000000,0
4.1500,28.874,31.5031,31.5031,0.000000,0
4.2000,38.317,27.2627,27.2627,0.000000,0
4.2500,35.466,27.2627,27.2627,0.000000,0
4.3000,28.396,28.7232,28.7232,0.000000,0
4.3500,37.360,28.7232,28.7232,0.000000,0
4.4000,46.244,35.4862,35.4862,0.000000,0
4.4500,75.408,35.4862,35.4862,0.000000,0
4.5000,47.046,14.1887,14.1887,0.000000,0
4.5500,28.990,14.1887,14.1887,0.000000,0
4.6000,27.614,29.3287,29.3287,0.000000,0
4.6500,47.626,29.3287,29.3287,0.000000,0
4.7000,55.641,18.3594,18.3594,0.000000,0
4.7500,37.348,18.3594,18.3594,0.000000,0
4.8000,35.680,18.9099,18.9099,0.000000,0
4.8500,38.504,18.9099,18.9099,0.000000,0
4.9000,36.319,27.6948,27.6948,0.000000,0
4.9500,44.645,27.6948,27.6948,0.000000,0
5.0000,48.802,20.4888,20.4888,0.000000,0
5.0500,68.496,20.4888,20.4888,0.000000,0
5.1000,44.641,29.8917,29.8917,0.000000,0
5.1500,85.230,29.8917,29.8917,0.000000,0
5.2000,55.160,17.2375,17.2375,0.000000,0
5.2500,48.804,17.2375,17.2375,0.000000,0
5.3000,57.769,24.8491,24.8491,0.000000,0
5.3500,34.665,24.8491,24.8491,0.000000,0
5.4000,74.690,23.2470,23.2470,0.000000,0
5.4500,45.770,23.2470,23.2470,0.000000,0
5.5000,66.391,24.9581,24.9581,0.000000,0
5.5500,47.985,24.9581,24.9581,0.000000,0
5.6000,34.330,25.0061,25.0061,0.000000,0
5.6500,33.426,25.0061,25.0061,0.000000,0
5.7000,37.757,22.7533,22.7533,0.000000,0
5.7500,35.579,22.7533,22.7533,0.000000,0
5.8000,28.236,21.8478,21.8478,0.000000,0
5.8500,36.063,21.8478,21.8478,0.000000,0
5.9000,55.383,25.0123,25.0123,0.000000,0
5.9500,47.752,25.0123,25.0123,0.000000,0
6.0000,35.487,29.7355,29.7355,0.000000,0
6.0500,39.632,29.7355,29.7355,0.000000,0
6.1000,47.814,31.0136,31.0136,0.000000,0
6.1500,34.756,31.0136,31.0136,0.000000,0
6.2000,37.958,16.0440,16.0440,0.000000,0
6.2500,36.362,16.0440,16.0440,0.000000,0
6.3000,29.674,26.3225,26.3225,0.000000,0
6.3500,49.011,26.3225,26.3225,0.000000,0
6.4000,34.694,24.2967,24.2967,0.000000,0
6.4500,38.702,24.2967,24.2967,0.000000,0
6.5000,58.588,33.1988,33.1988,0.000000,0
6.5500,34.683,33.1988,33.1988,0.000000,0
6.6000,37.286,28.3751,28.3751,0.000000,0
6.6500,35.365,28.3751,28.3751,0.000000,0
6.7000,28.538,25.7444,25.7444,0.000000,0
6.7500,32.334,25.7444,25.7444,0.000000,0
6.8000,35.662,20.5397,20.5397,0.000000,0
6.8500,38.577,20.5397,20.5397,0.000000,0
6.9000,58.463,20.5679,20.5679,0.000000,0
6.9500,39.704,20.5679,20.5679,0.000000,0
7.0000,37.968,20.8789,20.8789,0.000000,0
7.0500,36.702,20.8789,20.8789,0.000000,0
7.1000,33.928,20.6929,20.6929,0.000000,0
7.1500,37.686,20.6929,20.6929,0.000000,0
7.2000,29.739,26.6414,26.6414,0.000000,0
7.2500,27.828,26.6414,26.6414,0.000000,0
7.3000,36.736,27.7108,27.7108,0.000000,0
7.3500,45.449,27.7108,27.7108,0.000000,0
7.4000,48.476,25.3341,25.3341,0.000000,0
7.4500,67.356,25.3341,25.3341,0.000000,0
7.5000,66.268,29.4384,29.4384,0.000000,0
7.5500,37.466,29.4384,29.4384,0.000000,0
7.6000,34.460,27.1114,27.1114,0.000000,0
7.6500,38.774,27.1114,27.1114,0.000000,0
7.7000,57.770,26.0574,26.0574,0.000000,0
7.7500,28.386,26.0574,26.0574,0.000000,0
7.8000,37.426,20.1072,20.1072,0.000000,0
7.8500,46.573,20.1072,20.1072,0.000000,0
7.9000,44.711,26.1325,26.1325,0.000000,0
7.9500,47.814,26.1325,26.1325,0.000000,0
8.0000,35.940,18.1289,18.1289,0.000000,0
8.0500,39.483,18.1289,18.1289,0.000000,0
8.1000,47.551,27.5962,27.5962,0.000000,0
8.1500,35.258,27.5962,27.5962,0.000000,0
8.2000,37.732,26.2407,26.2407,0.000000,0
8.2500,36.182,26.2407,26.2407,0.000000,0
8.3000,39.325,27.2007,27.2007,0.000000,0
8.3500,38.256,27.2007,27.2007,0.000000,0
8.4000,46.834,26.9941,26.9941,0.000000,0
8.4500,38.251,26.9941,26.9941,0.000000,0
8.5000,67.436,28.3040,28.3040,0.000000,0
8.5500,65.956,28.3040,28.3040,0.000000,0
8.6000,37.469,28.0050,28.0050,0.000000,0
8.6500,36.764,28.0050,28.0050,0.000000,0
8.7000,65.477,21.3495,21.3495,0.000000,0
8.7500,58.679,21.3495,21.3495,0.000000,0
8.8000,46.431,18.2482,18.2482,0.000000,0
8.8500,54.928,18.2482,18.2482,0.000000,0
8.9000,47.503,17.3913,17.3913,0.000000,0
