t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
0.0000,61.870,7.6597,7.6597,0.000000,0
0.0500,80.768,7.6597,7.6597,0.000000,0
0.1000,68.893,7.6601,7.6601,0.000000,0
0.1500,87.715,7.6601,7.6601,0.000000,0
0.2000,69.166,6.3075,6.3075,0.000000,0
0.2500,78.040,6.3075,6.3075,0.000000,0
0.3000,81.076,12.1656,12.1656,0.000000,0
0.3500,79.891,12.1656,12.1656,0.000000,0
0.4000,61.028,8.5601,8.5601,0.000000,0
0.4500,81.397,8.5601,8.5601,0.000000,0
0.5000,68.647,11.0386,11.0386,0.000000,0
0.5500,71.192,11.0386,11.0386,0.000000,0
0.6000,58.453,10.5890,10.5890,0.000000,0
0.6500,79.175,10.5890,10.5890,0.000000,0
0.7000,59.977,11.4893,11.4893,0.000000,0
0.7500,69.452,11.4893,11.4893,0.000000,0
0.8000,88.728,14.8680,14.8680,0.000000,0
0.8500,70.445,14.8680,14.8680,0.000000,0
0.9000,68.041,14.6936,14.6936,0.000000,0
0.9500,70.727,14.6936,14.6936,0.000000,0
1.0000,58.960,14.3675,14.3675,0.000000,0
1.0500,61.532,14.3675,14.3675,0.000000,0
1.1000,60.576,15.0951,15.0951,0.000000,0
1.1500,59.430,15.0951,15.0951,0.000000,0
1.2000,72.591,13.0660,13.0660,0.000000,0
1.2500,60.067,13.0660,13.0660,0.000000,0
1.3000,58.882,13.4869,13.4869,0.000000,0
1.3500,72.415,13.4869,13.4869,0.000000,0
1.4000,59.468,20.8297,20.8297,0.000000,0
1.4500,68.629,20.8297,20.8297,0.000000,0
1.5000,71.560,20.4426,20.4426,0.000000,0
1.5500,69.786,20.4426,20.4426,0.000000,0
1.6000,78.843,16.1082,16.1082,0.000000,0
1.6500,60.323,16.1082,16.1082,0.000000,0
1.7000,73.416,18.5850,18.5850,0.000000,0
1.7500,61.385,18.5850,18.5850,0.000000,0
1.8000,59.193,24.8506,24.8506,0.000000,0
1.8500,68.838,24.8506,24.8506,0.000000,0
1.9000,71.266,19.4329,19.4329,0.000000,0
1.9500,59.543,19.4329,19.4329,0.000000,0
2.0000,62.117,29.1433,29.1433,0.000000,0
2.0500,59.011,29.1433,29.1433,0.000000,0
2.1000,59.090,24.4860,24.4860,0.000000,0
2.1500,60.477,24.4860,24.4860,0.000000,0
2.2000,69.787,24.7823,24.7823,0.000000,0
2.2500,68.444,24.7823,24.7823,0.000000,0
2.3000,60.097,28.3836,28.3836,0.000000,0
2.3500,59.058,28.3836,28.3836,0.000000,0
2.4000,62.529,29.2566,29.2566,0.000000,0
2.4500,70.339,29.2566,29.2566,0.000000,0
2.5000,58.630,33.5540,33.5540,0.000000,0
2.5500,71.879,33.5540,33.5540,0.000000,0
2.6000,59.271,37.8607,37.8607,0.000000,0
2.6500,57.762,37.8607,37.8607,0.000000,0
