t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
5.3000,42.506,45.8394,45.8394,0.000000,0
5.3500,39.341,45.8394,45.8394,0.000000,0
5.4000,32.199,33.8109,33.8109,0.000000,0
5.4500,36.016,33.8109,33.8109,0.000000,0
5.5000,33.629,37.7829,37.7829,0.000000,0
5.5500,36.855,37.7829,37.7829,0.000000,0
5.6000,39.848,48.2861,48.2861,0.000000,0
5.6500,37.995,48.2861,48.2861,0.000000,0
5.7000,36.941,51.2697,51.2697,0.000000,0
5.7500,34.841,51.2697,51.2697,0.000000,0
5.8000,38.742,39.2878,39.2878,0.000000,0
5.8500,35.468,39.2878,39.2878,0.000000,0
5.9000,34.549,48.7255,48.7255,0.000000,0
5.9500,37.365,48.7255,48.7255,0.000000,0
6.0000,39.867,39.2245,39.2245,0.000000,0
6.0500,28.088,39.2245,39.2245,0.000000,0
6.1000,36.349,40.8961,40.8961,0.000000,0
6.1500,34.404,40.8961,40.8961,0.000000,0
6.2000,37.685,50.0417,50.0417,0.000000,0
6.2500,30.041,50.0417,50.0417,0.000000,0
6.3000,28.360,57.5136,57.5136,0.000000,0
6.3500,42.241,57.5136,57.5136,0.000000,0
6.4000,34.688,61.9514,61.9514,0.000000,0
6.4500,43.637,61.9514,61.9514,0.000000,0
6.5000,42.186,71.0475,71.0475,0.000000,0
6.5500,34.987,71.0475,71.0475,0.000000,0
6.6000,31.952,57.3361,57.3361,0.000000,0
6.6500,57.377,57.3361,57.3361,0.000000,0
6.7000,28.524,61.1223,61.1223,0.000000,0
6.7500,37.809,61.1223,61.1223,0.000000,0
6.8000,39.972,68.1055,68.1055,0.000000,0
6.8500,28.337,68.1055,68.1055,0.000000,0
6.9000,36.889,52.4976,52.4976,0.000000,0
6.9500,29.436,52.4976,52.4976,0.000000,0
7.0000,43.901,48.8701,48.8701,0.000000,0
7.0500,35.099,48.8701,48.8701,0.000000,0
7.1000,34.709,59.0228,59.0228,0.000000,0
7.1500,32.585,59.0228,59.0228,0.000000,0
7.2000,34.819,6.7318,6.7318,0.000000,0
7.2500,38.135,6.7318,6.7318,0.000000,0
7.3000,37.233,70.1271,70.1271,0.000000,0
7.3500,39.607,70.1271,70.1271,0.000000,0
7.4000,48.322,30.0758,30.0758,0.000000,0
7.4500,35.622,30.0758,30.0758,0.000000,0
7.5000,27.990,34.1048,34.1048,0.000000,0
7.5500,36.929,34.1048,34.1048,0.000000,0
7.6000,35.768,17.4589,17.4589,0.000000,0
7.6500,33.983,17.4589,17.4589,0.000000,0
7.7000,36.522,8.5667,8.5667,0.000000,0
7.7500,29.798,8.5667,8.5667,0.000000,0
7.8000,32.975,5.0830,5.0830,0.000000,0
7.8500,35.618,5.0830,5.0830,0.000000,0
7.9000,27.972,36.3873,36.3873,0.000000,0
7.9500,31.422,36.3873,36.3873,0.000000,0
8.0000,34.981,21.2505,21.2505,0.000000,0
8.0500,28.441,21.2505,21.2505,0.000000,0
8.1000,31.421,32.3264,32.3264,0.000000,0
8.1500,28.892,32.3264,32.3264,0.000000,0
8.2000,31.994,20.9525,20.9525,0.000000,0
8.2500,46.962,20.9525,20.9525,0.000000,0
8.3000,29.038,19.4155,19.4155,0.000000,0
8.3500,36.896,19.4155,19.4155,0.000000,0
8.4000,29.849,22.6105,22.6105,0.000000,0
8.4500,37.983,22.6105,22.6105,0.000000,0
8.5000,36.843,26.9215,26.9215,0.000000,0
8.5500,29.725,26.9215,26.9215,0.000000,0
8.6000,32.094,28.6097,28.6097,0.000000,0
8.6500,30.657,28.6097,28.6097,0.000000,0
8.7000,28.287,18.1739,18.1739,0.000000,0
8.7500,42.181,18.1739,18.1739,0.000000,0
8.8000,34.875,20.0686,20.0686,0.000000,0
8.8500,33.492,20.0686,20.0686,0.000000,0
8.9000,46.829,28.0143,28.0143,0.000000,0
