scenario,cca,goodput_mean,goodput_std,p95_mean,p95_std,loss_mean,n
leo_fast_ho,BBRv3approx,70.88189866666667,11.470543079196283,138.83293205525692,33.02355999738642,0.01473490169902705,5
leo_fast_ho,CUBIC,5.472512,0.8610311838255337,124.80640476659596,13.594684650474065,0.0017419674653645911,5
leo_fast_ho,LeoAware,66.43590400000001,7.1387034032574865,133.1507029601068,37.003515439623826,0.011384323151834621,5
leo_multi,BBRv3approx,11.714944000000001,9.971728076307265,135.98889597087253,37.44337932022718,0.10588505861301127,15
leo_multi,CUBIC,7.642097777777778,1.2169807217543325,147.22284012688047,34.88605278305895,0.0008473692163345555,15
leo_multi,LeoAware,23.550627555555554,20.363791461058952,111.19212001833762,40.435455296145264,0.19633185899040434,15
leo_single,BBRv3approx,58.38786133333333,8.184883526076053,131.32680170249688,28.735776245560697,0.015969031322203554,5
leo_single,CUBIC,7.409024,1.4247727892591624,132.71971483591628,25.74780012187097,0.0008844511346069401,5
leo_single,LeoAware,62.00433066666667,16.39058976550306,135.56193340831402,15.78623046864865,0.007782739185610274,5
terrestrial,BBRv3approx,78.812128,0.0019179989572467814,40.0,0.0,0.012272010365802909,5
terrestrial,CUBIC,13.915808000000002,0.8774463413337595,40.0,0.0,0.0005192575020772632,5
terrestrial,LeoAware,77.46752000000001,0.225291079273012,40.0,0.0,0.0007409348724911047,5
