seed,profile,handovers,n_ho,mean_cap_mbps,min_cap_mbps,max_cap_mbps,oracle_gp_mbps,path_p50_ms,path_p95_ms,path_p99_ms,path_max_ms,cap_weighted_p95_ms,frac_cap_ge_75,mean_loss_p
13,starlink_v1,"[10.07999999999983, 19.930000000000316, 32.190000000002165, 45.059999999999604, 59.53999999999672, 73.9000000000009, 86.4200000000073]",7,99.26753372290378,54.453994175377645,137.4297866574689,98.9686864236763,47.48676356721093,68.2116393311751,95.4099139697134,121.43795891902234,68.2116393311751,0.8391111111111111,0.0030086666666666664
7,starlink_v1,"[10.599999999999818, 21.530000000000566, 30.090000000001904, 39.880000000000635, 55.69999999999749, 64.64999999999617, 77.77000000000288, 87.42000000000782]",8,76.69577236287068,42.800790895157164,134.88234214220438,76.45099739200472,45.279721087357565,63.81399906136251,91.15286957175401,104.30866428412986,63.81399906136251,0.4202222222222222,0.0033531666666666666
42,starlink_v1,"[13.119999999999765, 26.54000000000135, 38.59000000000089, 48.35999999999895, 61.949999999996244, 70.69999999999926, 84.54000000000634]",7,83.02428624029231,39.49341970605583,149.65223828900142,82.77132323007461,43.38507318917124,87.55511216494864,98.08940529547746,115.20744128307477,87.55511216494864,0.566,0.0030086666666666664
99,starlink_v1,"[11.239999999999805, 21.250000000000522, 33.17000000000197, 44.16999999999978, 58.96999999999684, 70.72999999999928, 86.65000000000742]",7,74.86933495116092,39.61303226887038,143.19735836221528,74.63032183325357,53.5839147877114,58.70085099956821,99.89367048459567,106.32735124132753,58.70085099956821,0.4252222222222222,0.0030086666666666664
123,starlink_v1,"[8.419999999999865, 16.729999999999816, 27.43000000000149, 36.14000000000138, 44.88999999999964, 57.47999999999713, 71.89999999999988, 82.43000000000526]",8,87.62421280258165,38.97825061668235,137.74141227624605,87.34137553574413,49.286259684154714,75.64786586311762,96.86639643826376,127.33681869307506,75.64786586311762,0.671,0.003362
