scenario,cca,flow,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,utilization,jain_fairness,handovers
leo_single,CUBIC,CUBIC,9.0416,55.53536817694823,111.19278391772865,111.19278391772865,0.0010488603955028637,0.12916571428571427,1.0,4
leo_single,BBRv3approx,BBRv3approx,83.98762666666667,97.11889521354261,161.8118548681738,161.8118548681738,0.012687115518205597,1.1998232380952383,1.0,4
leo_single,LeoAware,LeoAware,71.87765333333333,86.29453579867914,111.89573257663496,111.89573257663496,0.008730663089080713,1.026823619047619,1.0,3
leo_fast_ho,CUBIC,CUBIC,6.4432,65.3908431162401,134.3366976352642,141.6417889240662,0.0014216990957332497,0.09204571428571429,1.0,7
leo_fast_ho,BBRv3approx,BBRv3approx,65.38112,116.1683891631563,188.6213259473495,188.6213259473495,0.011780638608314322,0.934016,1.0,7
leo_fast_ho,LeoAware,LeoAware,63.362026666666665,85.72406935324332,146.91642450408705,146.91642450408705,0.011210911621062865,0.9051718095238095,1.0,6
leo_multi,CUBIC,CUBIC,8.864853333333334,54.21082412458053,106.69230543551923,106.69230543551923,0.0008535808317003089,0.12664076190476192,0.9942727343639923,3
leo_multi,CUBIC,CUBIC,10.443093333333334,53.14481584830971,106.69230543551923,106.69230543551923,0.0007246746619035469,0.14918704761904764,0.9942727343639923,3
leo_multi,CUBIC,CUBIC,8.991786666666666,54.715940856001794,106.69230543551923,106.69230543551923,0.0007941681977123215,0.12845409523809523,0.9942727343639923,3
leo_multi,BBRv3approx,BBRv3approx,13.098986666666667,37.136722438192656,66.37783046767937,66.37783046767937,0.0011468636127017178,0.18712838095238093,0.7389285891507481,3
leo_multi,BBRv3approx,BBRv3approx,42.915733333333336,64.11915226548624,84.44962090269867,84.44962090269867,0.00741108060166922,0.6130819047619048,0.7389285891507481,3
leo_multi,BBRv3approx,BBRv3approx,13.94336,65.07576278910479,84.44962090269867,84.44962090269867,0.036258543022921474,0.19919085714285714,0.7389285891507481,3
leo_multi,LeoAware,LeoAware,54.12992,71.709113813552,95.96207428864126,95.96207428864126,0.0015425418886694001,0.7732845714285714,0.6107146832953044,3
leo_multi,LeoAware,LeoAware,26.48362666666667,72.27727342796393,95.96207428864126,95.96207428864126,0.03332762299294514,0.37833752380952385,0.6107146832953044,3
leo_multi,LeoAware,LeoAware,0.9646933333333334,47.24259476948646,95.96207428864126,95.96207428864126,0.46956011730205277,0.013781333333333335,0.6107146832953044,3
terrestrial,CUBIC,CUBIC,13.3392,39.99999999999999,40.0,40.0,0.0005514529586650043,0.19056,1.0,0
terrestrial,BBRv3approx,BBRv3approx,78.80624,40.000000000000014,40.0,40.0,0.012336296424038131,1.1258034285714287,1.0,0
terrestrial,LeoAware,LeoAware,77.85728,40.00000000000002,40.0,40.0,0.0008254450627297181,1.1122468571428572,1.0,0
leo_isl,CUBIC,CUBIC,8.062933333333334,57.75120109484611,117.83326627102015,122.21054983250816,0.0008987813582172408,0.1151847619047619,1.0,4
leo_isl,BBRv3approx,BBRv3approx,82.48149333333333,84.81270187988382,122.65991607660222,122.65991607660222,0.00940678215798731,1.1783070476190476,1.0,3
leo_isl,LeoAware,LeoAware,49.85952,80.7740879699195,130.7204913763301,130.7204913763301,0.009054407001000627,0.7122788571428571,1.0,4
