profile,seed,cca,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,handovers,soft_qir_alpha
ope_v36,13,BBRv3approx,68.18037333333332,153.3799930481555,141.37999304815787,11.999999999997623,5.445765037368123,7,0.2
ope_v36,13,LeoAware,67.18592,153.3799930481555,141.37999304815787,11.999999999997623,5.356515968425722,7,0.2
ope_v36,7,BBRv3approx,56.12032,151.97001084334883,135.97001084335201,16.00000000000819,6.771219171000961,7,0.2
ope_v36,7,LeoAware,56.402346666666666,145.97001084335358,135.97001084335201,16.00000000000819,6.10711611053605,7,0.2
ope_v36,42,BBRv3approx,48.66656,183.95109455908928,181.95109455908826,15.999999999996822,7.427356553110886,7,0.2
ope_v36,42,LeoAware,51.68874666666667,185.9510945590903,181.95109455908826,14.000000000002192,6.675761790574868,7,0.2
ope_v36,99,BBRv3approx,74.31274666666667,126.13995208726759,121.28013469403685,7.999999999998398,4.986223269727597,7,0.2
ope_v36,99,LeoAware,74.84885333333332,126.13995208726759,121.28013469403685,7.999999999998398,4.885063302684835,7,0.2
ope_v36,123,BBRv3approx,43.77248,148.99711151444396,130.99711151443475,18.0000000000092,8.97942085986538,6,0.2
ope_v36,123,LeoAware,43.759573333333336,148.99711151444396,130.99711151443475,18.0000000000092,7.985189374181243,6,0.2
