seed,profile,handovers,n_ho,mean_cap_mbps,min_cap_mbps,max_cap_mbps,oracle_gp_mbps,path_p50_ms,path_p95_ms,path_p99_ms,path_max_ms,cap_weighted_p95_ms,frac_cap_ge_75,mean_loss_p
13,ope_v36,"[10.07999999999983, 19.57000000000026, 28.620000000001674, 43.32999999999995, 58.30999999999697, 72.27000000000007, 87.07000000000764]",7,70.32928973475732,33.630902580721674,108.08162428655429,70.11008928962646,112.3972494056884,141.37999304815787,141.37999304815787,141.37999304815787,141.37999304815787,0.3844444444444444,0.0029998333333333335
7,ope_v36,"[10.599999999999818, 22.89000000000078, 34.36000000000173, 43.35999999999994, 55.97999999999743, 70.84999999999934, 85.38000000000677]",7,57.95032173347892,23.037081096860174,118.21401679745006,57.76680676174957,82.7676332255546,135.97001084335201,135.97001084335201,135.97001084335201,135.97001084335201,0.29155555555555557,0.0030086666666666664
42,ope_v36,"[13.119999999999765, 27.020000000001424, 38.40000000000093, 47.99999999999902, 60.71999999999649, 71.44999999999965, 80.20000000000412]",7,53.44366982396854,21.973989713353344,92.50835595788055,53.28861270875549,65.88356498682471,181.95109455908826,181.95109455908826,181.95109455908826,181.95109455908826,0.2281111111111111,0.0030086666666666664
99,ope_v36,"[11.239999999999805, 21.250000000000522, 36.760000000001256, 46.49999999999932, 59.95999999999664, 70.67999999999925, 82.44000000000527]",7,76.71915884764537,20.139123125379175,108.14661889810613,76.48582587132947,83.18359109003545,121.28013469403685,121.28013469403685,121.28013469403685,121.28013469403685,0.5304444444444445,0.0030086666666666664
123,ope_v36,"[8.419999999999865, 23.630000000000894, 38.45000000000092, 48.419999999998936, 61.20999999999639, 76.46000000000221]",6,44.86053922696718,21.459889697907652,72.09999999964582,44.74802129957857,59.891387302142775,130.99711151443475,130.99711151443475,130.99711151443475,130.99711151443475,0.0,0.0026553333333333333
13,starlink_rtt,"[10.07999999999983, 19.930000000000316, 32.190000000002165, 45.059999999999604, 59.53999999999672, 73.9000000000009, 86.4200000000073]",7,73.86349045776721,33.630902972526464,108.08162428655429,73.64078215693239,47.48676356721093,68.2116393311751,95.4099139697134,121.43795891902234,68.2116393311751,0.4052222222222222,0.0030086666666666664
7,starlink_rtt,"[10.599999999999818, 21.530000000000566, 30.090000000001904, 39.880000000000635, 55.69999999999749, 64.64999999999617, 77.77000000000288, 87.42000000000782]",8,53.35439727633838,23.037081096860174,105.76576603156167,53.18692244057962,45.279721087357565,63.81399906136251,91.15286957175401,104.30866428412986,63.81399906136251,0.28455555555555556,0.0033531666666666666
42,starlink_rtt,"[13.119999999999765, 26.54000000000135, 38.59000000000089, 48.35999999999895, 61.949999999996244, 70.69999999999926, 84.54000000000634]",7,59.09976578188706,20.03038072768845,119.19294421354351,58.918667979525196,43.38507318917124,87.55511216494864,98.08940529547746,115.20744128307477,87.55511216494864,0.3595555555555556,0.0030086666666666664
99,starlink_rtt,"[11.239999999999805, 21.250000000000522, 33.17000000000197, 44.16999999999978, 58.96999999999684, 70.72999999999928, 86.65000000000742]",7,51.69495818162629,20.139120140389192,113.32488183656558,51.52691835491671,53.5839147877114,58.70085099956821,99.89367048459567,106.32735124132753,58.7008509995682,0.09533333333333334,0.0030086666666666664
123,starlink_rtt,"[8.419999999999865, 16.729999999999816, 27.43000000000149, 36.14000000000138, 44.88999999999964, 57.47999999999713, 71.89999999999988, 82.43000000000526]",8,63.287809106593386,19.562044976844327,108.36492045284335,63.08528291186209,49.286259684154714,75.64786586311762,96.86639643826376,127.33681869307506,75.64786586311762,0.2791111111111111,0.003362
13,starlink_v1,"[10.07999999999983, 19.930000000000316, 32.190000000002165, 45.059999999999604, 59.53999999999672, 73.9000000000009, 86.4200000000073]",7,99.26753372290378,54.453994175377645,137.4297866574689,98.9686864236763,47.48676356721093,68.2116393311751,95.4099139697134,121.43795891902234,68.2116393311751,0.8391111111111111,0.0030086666666666664
7,starlink_v1,"[10.599999999999818, 21.530000000000566, 30.090000000001904, 39.880000000000635, 55.69999999999749, 64.64999999999617, 77.77000000000288, 87.42000000000782]",8,76.69577236287068,42.800790895157164,134.88234214220438,76.45099739200472,45.279721087357565,63.81399906136251,91.15286957175401,104.30866428412986,63.81399906136251,0.4202222222222222,0.0033531666666666666
42,starlink_v1,"[13.119999999999765, 26.54000000000135, 38.59000000000089, 48.35999999999895, 61.949999999996244, 70.69999999999926, 84.54000000000634]",7,83.02428624029231,39.49341970605583,149.65223828900142,82.77132323007461,43.38507318917124,87.55511216494864,98.08940529547746,115.20744128307477,87.55511216494864,0.566,0.0030086666666666664
99,starlink_v1,"[11.239999999999805, 21.250000000000522, 33.17000000000197, 44.16999999999978, 58.96999999999684, 70.72999999999928, 86.65000000000742]",7,74.86933495116092,39.61303226887038,143.19735836221528,74.63032183325357,53.5839147877114,58.70085099956821,99.89367048459567,106.32735124132753,58.70085099956821,0.4252222222222222,0.0030086666666666664
123,starlink_v1,"[8.419999999999865, 16.729999999999816, 27.43000000000149, 36.14000000000138, 44.88999999999964, 57.47999999999713, 71.89999999999988, 82.43000000000526]",8,87.62421280258165,38.97825061668235,137.74141227624605,87.34137553574413,49.286259684154714,75.64786586311762,96.86639643826376,127.33681869307506,75.64786586311762,0.671,0.003362
