t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
5.2500,20.000,10.000,405.6000,405.6000,0.000100,0
5.3000,22.000,11.000,398.4000,398.4000,0.000100,0
5.3500,28.000,14.000,388.8000,388.8000,0.000100,0
5.4000,28.000,14.000,441.6000,441.6000,0.000100,0
5.4500,24.000,12.000,427.2000,427.2000,0.000100,0
5.5000,24.000,12.000,422.4000,422.4000,0.000100,0
5.5500,20.000,10.000,451.2000,451.2000,0.000100,0
5.6000,20.000,10.000,422.4000,422.4000,0.000100,0
5.6500,24.000,12.000,415.2000,415.2000,0.000100,0
5.7000,20.000,10.000,458.4000,458.4000,0.000100,0
5.7500,28.000,14.000,415.2000,415.2000,0.000100,0
5.8000,26.000,13.000,446.4000,446.4000,0.000100,0
5.8500,34.000,17.000,424.8000,424.8000,0.000100,0
5.9000,20.000,10.000,446.4000,446.4000,0.000100,0
5.9500,24.000,12.000,429.6000,429.6000,0.000100,0
6.0000,20.000,10.000,444.0000,444.0000,0.000100,0
6.0500,22.000,11.000,429.6000,429.6000,0.000100,0
6.1000,26.000,13.000,417.6000,417.6000,0.000100,0
6.1500,26.000,13.000,453.6000,453.6000,0.000100,0
6.2000,24.000,12.000,420.0000,420.0000,0.000100,0
6.2500,24.000,12.000,417.6000,417.6000,0.000100,0
6.3000,20.000,10.000,456.0000,456.0000,0.000100,0
6.3500,20.000,10.000,415.2000,415.2000,0.000100,0
6.4000,24.000,12.000,446.4000,446.4000,0.000100,0
6.4500,22.000,11.000,427.2000,427.2000,0.000100,0
6.5000,24.000,12.000,444.0000,444.0000,0.000100,0
6.5500,30.000,15.000,427.2000,427.2000,0.000100,0
6.6000,20.000,10.000,446.4000,446.4000,0.000100,0
6.6500,26.000,13.000,427.2000,427.2000,0.000100,0
6.7000,22.000,11.000,420.0000,420.0000,0.000100,0
6.7500,24.000,12.000,453.6000,453.6000,0.000100,0
6.8000,22.000,11.000,420.0000,420.0000,0.000100,0
6.8500,28.000,14.000,420.0000,420.0000,0.000100,0
6.9000,20.000,10.000,453.6000,453.6000,0.000100,0
6.9500,24.000,12.000,417.6000,417.6000,0.000100,0
7.0000,20.000,10.000,446.4000,446.4000,0.000100,0
7.0500,22.000,11.000,429.6000,429.6000,0.000100,0
7.1000,24.000,12.000,446.4000,446.4000,0.000100,0
7.1500,28.000,14.000,429.6000,429.6000,0.000100,0
7.2000,20.000,10.000,444.0000,444.0000,0.000100,0
7.2500,22.000,11.000,429.6000,429.6000,0.000100,0
7.3000,22.000,11.000,446.4000,446.4000,0.000100,0
7.3500,30.000,15.000,429.6000,429.6000,0.000100,0
7.4000,20.000,10.000,417.6000,417.6000,0.000100,0
7.4500,24.000,12.000,456.0000,456.0000,0.000100,0
7.5000,26.000,13.000,420.0000,420.0000,0.000100,0
7.5500,26.000,13.000,417.6000,417.6000,0.000100,0
7.6000,26.000,13.000,456.0000,456.0000,0.000100,0
7.6500,24.000,12.000,417.6000,417.6000,0.000100,0
7.7000,24.000,12.000,446.4000,446.4000,0.000100,0
7.7500,20.000,10.000,429.6000,429.6000,0.000100,0
7.8000,24.000,12.000,444.0000,444.0000,0.000100,0
7.8500,24.000,12.000,429.6000,429.6000,0.000100,0
7.9000,26.000,13.000,444.0000,444.0000,0.000100,0
7.9500,24.000,12.000,429.6000,429.6000,0.000100,0
8.0000,24.000,12.000,420.0000,420.0000,0.000100,0
8.0500,20.000,10.000,453.6000,453.6000,0.000100,0
8.1000,24.000,12.000,420.0000,420.0000,0.000100,0
8.1500,26.000,13.000,417.6000,417.6000,0.000100,0
8.2000,20.000,10.000,456.0000,456.0000,0.000100,0
8.2500,24.000,12.000,417.6000,417.6000,0.000100,0
8.3000,22.000,11.000,446.4000,446.4000,0.000100,0
8.3500,20.000,10.000,427.2000,427.2000,0.000100,0
8.4000,26.000,13.000,446.4000,446.4000,0.000100,0
8.4500,36.000,18.000,427.2000,427.2000,0.000100,0
8.5000,20.000,10.000,446.4000,446.4000,0.000100,0
8.5500,24.000,12.000,429.6000,429.6000,0.000100,0
8.6000,22.000,11.000,417.6000,417.6000,0.000100,0
8.6500,24.000,12.000,456.0000,456.0000,0.000100,0
8.7000,22.000,11.000,417.6000,417.6000,0.000100,0
8.7500,22.000,11.000,420.0000,420.0000,0.000100,0
8.8000,24.000,12.000,453.6000,453.6000,0.000100,0
8.8500,24.000,12.000,417.6000,417.6000,0.000100,0
8.9000,26.000,13.000,446.4000,446.4000,0.000100,0
8.9500,22.000,11.000,429.6000,429.6000,0.000100,0
9.0000,22.000,11.000,444.0000,444.0000,0.000100,0
9.0500,34.000,17.000,429.6000,429.6000,0.000100,0
9.1000,22.000,11.000,160.8000,160.8000,0.000100,0
9.1500,22.000,11.000,26.4000,26.4000,0.000100,0
9.2000,32.000,16.000,91.2000,91.2000,0.000100,0
9.2500,32.000,16.000,136.8000,136.8000,0.000100,0
9.3000,26.000,13.000,223.2000,223.2000,0.000100,0
9.3500,22.000,11.000,244.8000,244.8000,0.000100,0
9.4000,28.000,14.000,249.6000,249.6000,0.000100,0
9.4500,28.000,14.000,321.6000,321.6000,0.000100,0
9.5000,26.000,13.000,328.8000,328.8000,0.000100,0
9.5500,28.000,14.000,319.2000,319.2000,0.000100,0
9.6000,28.000,14.000,326.4000,326.4000,0.000100,0
9.6500,32.000,16.000,336.0000,336.0000,0.000100,0
9.7000,28.000,14.000,309.6000,309.6000,0.000100,0
9.7500,24.000,12.000,336.0000,336.0000,0.000100,0
9.8000,32.000,16.000,324.0000,324.0000,0.000100,0
9.8500,28.000,14.000,321.6000,321.6000,0.000100,0
9.9000,28.000,14.000,326.4000,326.4000,0.000100,0
9.9500,32.000,16.000,319.2000,319.2000,0.000100,0
10.0000,22.000,11.000,326.4000,326.4000,0.000100,0
10.0500,32.000,16.000,336.0000,336.0000,0.000100,0
10.1000,22.000,11.000,307.2000,307.2000,0.000100,0
10.1500,26.000,13.000,338.4000,338.4000,0.000100,0
10.2000,38.000,19.000,321.6000,321.6000,0.000100,0
10.2500,28.000,14.000,324.0000,324.0000,0.000100,0
10.3000,26.000,13.000,326.4000,326.4000,0.000100,0
10.3500,28.000,14.000,316.8000,316.8000,0.000100,0
10.4000,26.000,13.000,328.8000,328.8000,0.000100,0
10.4500,26.000,13.000,333.6000,333.6000,0.000100,0
10.5000,28.000,14.000,309.6000,309.6000,0.000100,0
10.5500,22.000,11.000,336.0000,336.0000,0.000100,0
10.6000,28.000,14.000,324.0000,324.0000,0.000100,0
10.6500,28.000,14.000,321.6000,321.6000,0.000100,0
10.7000,28.000,14.000,326.4000,326.4000,0.000100,0
10.7500,32.000,16.000,319.2000,319.2000,0.000100,0
10.8000,32.000,16.000,326.4000,326.4000,0.000100,0
10.8500,32.000,16.000,333.6000,333.6000,0.000100,0
10.9000,38.000,19.000,309.6000,309.6000,0.000100,0
10.9500,28.000,14.000,348.0000,348.0000,0.000100,0
11.0000,32.000,16.000,364.8000,364.8000,0.000100,0
11.0500,32.000,16.000,362.4000,362.4000,0.000100,0
11.1000,22.000,11.000,367.2000,367.2000,0.000100,0
11.1500,28.000,14.000,369.6000,369.6000,0.000100,0
11.2000,22.000,11.000,230.4000,230.4000,0.000100,0
