t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
5.2500,50.000,25.000,439.2000,439.2000,0.000100,0
5.3000,54.000,27.000,400.3200,400.3200,0.000100,0
5.3500,50.000,25.000,404.4000,404.4000,0.000100,0
5.4000,50.000,25.000,434.4000,434.4000,0.000100,0
5.4500,50.000,25.000,405.1200,405.1200,0.000100,0
5.5000,50.000,25.000,413.0400,413.0400,0.000100,0
5.5500,48.000,24.000,425.7600,425.7600,0.000100,0
5.6000,50.000,25.000,411.6000,411.6000,0.000100,0
5.6500,52.000,26.000,423.3600,423.3600,0.000100,0
5.7000,50.000,25.000,413.5200,413.5200,0.000100,0
5.7500,48.000,24.000,420.7200,420.7200,0.000100,0
5.8000,52.000,26.000,399.1200,399.1200,0.000100,0
5.8500,54.000,27.000,437.7600,437.7600,0.000100,0
5.9000,50.000,25.000,399.6000,399.6000,0.000100,0
5.9500,50.000,25.000,404.6400,404.6400,0.000100,0
6.0000,48.000,24.000,433.4400,433.4400,0.000100,0
6.0500,50.000,25.000,405.1200,405.1200,0.000100,0
6.1000,52.000,26.000,414.0000,414.0000,0.000100,0
6.1500,46.000,23.000,426.0000,426.0000,0.000100,0
6.2000,50.000,25.000,413.5200,413.5200,0.000100,0
6.2500,52.000,26.000,424.8000,424.8000,0.000100,0
6.3000,54.000,27.000,413.7600,413.7600,0.000100,0
6.3500,50.000,25.000,426.2400,426.2400,0.000100,0
6.4000,50.000,25.000,398.1600,398.1600,0.000100,0
6.4500,46.000,23.000,441.3600,441.3600,0.000100,0
6.5000,50.000,25.000,397.9200,397.9200,0.000100,0
6.5500,50.000,25.000,404.8800,404.8800,0.000100,0
6.6000,46.000,23.000,432.9600,432.9600,0.000100,0
6.6500,50.000,25.000,404.4000,404.4000,0.000100,0
6.7000,54.000,27.000,414.0000,414.0000,0.000100,0
6.7500,46.000,23.000,425.7600,425.7600,0.000100,0
6.8000,50.000,25.000,413.0400,413.0400,0.000100,0
6.8500,48.000,24.000,424.8000,424.8000,0.000100,0
6.9000,46.000,23.000,412.5600,412.5600,0.000100,0
6.9500,52.000,26.000,423.6000,423.6000,0.000100,0
7.0000,46.000,23.000,412.5600,412.5600,0.000100,0
7.0500,46.000,23.000,418.0800,418.0800,0.000100,0
7.1000,52.000,26.000,391.2000,391.2000,0.000100,0
7.1500,46.000,23.000,428.8800,428.8800,0.000100,0
7.2000,46.000,23.000,382.5600,382.5600,0.000100,0
7.2500,52.000,26.000,387.6000,387.6000,0.000100,0
7.3000,46.000,23.000,428.4000,428.4000,0.000100,0
7.3500,50.000,25.000,404.8800,404.8800,0.000100,0
7.4000,56.000,28.000,414.9600,414.9600,0.000100,0
7.4500,46.000,23.000,424.3200,424.3200,0.000100,0
7.5000,50.000,25.000,414.7200,414.7200,0.000100,0
7.5500,52.000,26.000,432.2400,432.2400,0.000100,0
7.6000,46.000,23.000,431.2800,431.2800,0.000100,0
7.6500,50.000,25.000,440.4000,440.4000,0.000100,0
7.7000,50.000,25.000,414.2400,414.2400,0.000100,0
7.7500,50.000,25.000,458.1600,458.1600,0.000100,0
7.8000,50.000,25.000,414.9600,414.9600,0.000100,0
7.8500,50.000,25.000,420.4800,420.4800,0.000100,0
7.9000,46.000,23.000,440.1600,440.1600,0.000100,0
7.9500,52.000,26.000,404.6400,404.6400,0.000100,0
8.0000,52.000,26.000,415.2000,415.2000,0.000100,0
8.0500,46.000,23.000,421.9200,421.9200,0.000100,0
8.1000,58.000,29.000,417.1200,417.1200,0.000100,0
8.1500,50.000,25.000,421.6800,421.6800,0.000100,0
8.2000,46.000,23.000,417.6000,417.6000,0.000100,0
8.2500,50.000,25.000,422.1600,422.1600,0.000100,0
8.3000,52.000,26.000,400.0800,400.0800,0.000100,0
8.3500,46.000,23.000,439.2000,439.2000,0.000100,0
8.4000,50.000,25.000,400.3200,400.3200,0.000100,0
8.4500,52.000,26.000,402.0000,402.0000,0.000100,0
8.5000,54.000,27.000,436.3200,436.3200,0.000100,0
8.5500,50.000,25.000,403.2000,403.2000,0.000100,0
8.6000,58.000,29.000,415.9200,415.9200,0.000100,0
8.6500,52.000,26.000,420.0000,420.0000,0.000100,0
8.7000,52.000,26.000,417.6000,417.6000,0.000100,0
8.7500,50.000,25.000,419.7600,419.7600,0.000100,0
8.8000,50.000,25.000,416.1600,416.1600,0.000100,0
8.8500,52.000,26.000,423.6000,423.6000,0.000100,0
8.9000,54.000,27.000,415.4400,415.4400,0.000100,0
8.9500,50.000,25.000,421.2000,421.2000,0.000100,0
9.0000,50.000,25.000,402.2400,402.2400,0.000100,0
9.0500,48.000,24.000,437.5200,437.5200,0.000100,0
9.1000,50.000,25.000,401.7600,401.7600,0.000100,0
9.1500,50.000,25.000,403.4400,403.4400,0.000100,0
9.2000,50.000,25.000,436.8000,436.8000,0.000100,0
9.2500,46.000,23.000,405.1200,405.1200,0.000100,0
9.3000,52.000,26.000,416.8800,416.8800,0.000100,0
9.3500,50.000,25.000,421.4400,421.4400,0.000100,0
9.4000,54.000,27.000,419.5200,419.5200,0.000100,0
9.4500,50.000,25.000,421.4400,421.4400,0.000100,0
9.5000,46.000,23.000,419.5200,419.5200,0.000100,0
9.5500,50.000,25.000,421.9200,421.9200,0.000100,0
9.6000,50.000,25.000,401.2800,401.2800,0.000100,0
9.6500,46.000,23.000,438.4800,438.4800,0.000100,0
9.7000,52.000,26.000,415.4400,415.4400,0.000100,0
9.7500,52.000,26.000,419.7600,419.7600,0.000100,0
9.8000,46.000,23.000,455.5200,455.5200,0.000100,0
9.8500,54.000,27.000,419.2800,419.2800,0.000100,0
9.9000,56.000,28.000,436.5600,436.5600,0.000100,0
9.9500,50.000,25.000,438.0000,438.0000,0.000100,0
10.0000,50.000,25.000,436.5600,436.5600,0.000100,0
10.0500,52.000,26.000,438.4800,438.4800,0.000100,0
10.1000,46.000,23.000,436.3200,436.3200,0.000100,0
10.1500,50.000,25.000,437.0400,437.0400,0.000100,0
10.2000,52.000,26.000,420.2400,420.2400,0.000100,0
10.2500,46.000,23.000,454.8000,454.8000,0.000100,0
10.3000,50.000,25.000,420.9600,420.9600,0.000100,0
10.3500,52.000,26.000,419.7600,419.7600,0.000100,0
10.4000,50.000,25.000,455.0400,455.0400,0.000100,0
10.4500,52.000,26.000,414.7200,414.7200,0.000100,0
10.5000,52.000,26.000,438.7200,438.7200,0.000100,0
10.5500,50.000,25.000,436.3200,436.3200,0.000100,0
10.6000,50.000,25.000,437.5200,437.5200,0.000100,0
10.6500,52.000,26.000,438.4800,438.4800,0.000100,0
10.7000,50.000,25.000,436.3200,436.3200,0.000100,0
10.7500,52.000,26.000,436.8000,436.8000,0.000100,0
10.8000,50.000,25.000,437.2800,437.2800,0.000100,0
10.8500,50.000,25.000,436.0800,436.0800,0.000100,0
10.9000,52.000,26.000,420.4800,420.4800,0.000100,0
10.9500,50.000,25.000,454.0800,454.0800,0.000100,0
11.0000,50.000,25.000,420.9600,420.9600,0.000100,0
11.0500,50.000,25.000,418.0800,418.0800,0.000100,0
11.1000,50.000,25.000,457.4400,457.4400,0.000100,0
11.1500,46.000,23.000,418.3200,418.3200,0.000100,0
11.2000,56.000,28.000,438.7200,438.7200,0.000100,0
11.2500,46.000,23.000,435.6000,435.6000,0.000100,0
11.3000,52.000,26.000,439.6800,439.6800,0.000100,0
11.3500,52.000,26.000,437.0400,437.0400,0.000100,0
11.4000,46.000,23.000,438.9600,438.9600,0.000100,0
11.4500,50.000,25.000,435.8400,435.8400,0.000100,0
11.5000,50.000,25.000,420.9600,420.9600,0.000100,0
