t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
5.2500,102.000,51.000,412.0800,412.0800,0.000100,0
5.3000,104.000,52.000,431.5200,431.5200,0.000100,0
5.3500,102.000,51.000,410.8800,410.8800,0.000100,0
5.4000,98.000,49.000,423.1200,423.1200,0.000100,0
5.4500,98.000,49.000,412.3200,412.3200,0.000100,0
5.5000,100.000,50.000,429.8400,429.8400,0.000100,0
5.5500,100.000,50.000,410.4000,410.4000,0.000100,0
5.6000,100.000,50.000,432.7200,432.7200,0.000100,0
5.6500,102.000,51.000,409.6800,409.6800,0.000100,0
5.7000,104.000,52.000,395.7600,395.7600,0.000100,0
5.7500,100.000,50.000,444.2400,444.2400,0.000100,0
5.8000,104.000,52.000,401.5200,401.5200,0.000100,0
5.8500,104.000,52.000,412.8000,412.8000,0.000100,0
5.9000,100.000,50.000,427.9200,427.9200,0.000100,0
5.9500,104.000,52.000,415.6800,415.6800,0.000100,0
6.0000,100.000,50.000,430.8000,430.8000,0.000100,0
6.0500,100.000,50.000,413.0400,413.0400,0.000100,0
6.1000,104.000,52.000,426.4800,426.4800,0.000100,0
6.1500,100.000,50.000,409.2000,409.2000,0.000100,0
6.2000,102.000,51.000,434.6400,434.6400,0.000100,0
6.2500,106.000,53.000,407.5200,407.5200,0.000100,0
6.3000,98.000,49.000,401.0400,401.0400,0.000100,0
6.3500,106.000,53.000,444.0000,444.0000,0.000100,0
6.4000,104.000,52.000,398.1600,398.1600,0.000100,0
6.4500,98.000,49.000,413.7600,413.7600,0.000100,0
6.5000,100.000,50.000,431.0400,431.0400,0.000100,0
6.5500,102.000,51.000,413.0400,413.0400,0.000100,0
6.6000,100.000,50.000,430.5600,430.5600,0.000100,0
6.6500,100.000,50.000,413.0400,413.0400,0.000100,0
6.7000,104.000,52.000,430.0800,430.0800,0.000100,0
6.7500,100.000,50.000,413.5200,413.5200,0.000100,0
6.8000,102.000,51.000,430.0800,430.0800,0.000100,0
6.8500,102.000,51.000,409.9200,409.9200,0.000100,0
6.9000,100.000,50.000,433.6800,433.6800,0.000100,0
6.9500,102.000,51.000,406.5600,406.5600,0.000100,0
7.0000,104.000,52.000,397.6800,397.6800,0.000100,0
7.0500,98.000,49.000,443.5200,443.5200,0.000100,0
