scenario,variant,goodput_mean,goodput_std,p95_mean,p95_std,loss_mean,erased_mean,applied_mean
leo_fast_ho,ascent_d,65.89495466666668,6.153891924155538,142.16966713058474,24.960534330875838,0.008964195600458885,0.0,14.0
leo_fast_ho,bbr,70.88189866666667,11.470543079196283,138.83293205525692,33.02355999738642,0.01473490169902705,0.0,0.0
leo_fast_ho,endpoint,66.56145066666667,10.967005925250524,155.02773176095442,34.133702950990745,0.009537499383033905,0.0,0.0
leo_fast_ho,hybrid,71.513728,8.466289903016559,135.2788131495716,23.241122151189877,0.012804602671670611,0.0,14.0
leo_fast_ho,orb,66.134528,8.612175691171705,147.950750170209,29.518807530803155,0.014281808316383888,0.0,0.0
leo_single,ascent_d,66.31074133333333,8.311716008374896,141.7651151683803,39.02785217342922,0.007435678460712929,0.0,7.6
leo_single,bbr,58.38786133333333,8.184883526076053,131.32680170249688,28.735776245560697,0.015969031322203554,0.0,0.0
leo_single,endpoint,61.46690133333334,4.809306600587381,128.01452043185614,29.93869876200001,0.0076390602165509166,0.0,0.0
leo_single,hybrid,77.88258133333333,5.281103828267558,125.84660385594039,14.633397765825807,0.010033575402770471,0.0,7.6
leo_single,orb,71.60985600000001,7.9946904533691,162.3755257258734,17.008286072209952,0.009996669088535455,0.0,0.0
terrestrial,ascent_d,77.34656,0.21003792419465683,40.0,0.0,0.0007288872061657775,0.0,0.0
terrestrial,bbr,78.812128,0.0019179989572467814,40.0,0.0,0.012272010365802909,0.0,0.0
terrestrial,endpoint,77.34656,0.21003792419465683,40.0,0.0,0.0007288872061657775,0.0,0.0
terrestrial,hybrid,78.097824,0.09167047769047704,40.0,0.0,0.008266296902540137,0.0,0.0
terrestrial,orb,78.097824,0.09167047769047704,40.0,0.0,0.008266296902540137,0.0,0.0
