scenario,variant,seed,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,utilization,handovers,ascent_ok,ascent_erased,ascent_applied,orb_samples
leo_fast_ho,endpoint,13,68.21034666666667,88.51207338859317,165.43835675015595,165.43835675015595,0.009676020566189679,0.9744335238095239,4,0,0,0,0
leo_fast_ho,ascent_plain,13,75.09226666666667,78.51053463280088,96.0962470034846,96.0962470034846,0.008534610238715584,1.0727466666666667,4,8,0,8,0
leo_fast_ho,ascent_d,13,75.09226666666667,78.51053463280088,96.0962470034846,96.0962470034846,0.008534610238715584,1.0727466666666667,4,8,0,8,0
leo_fast_ho,ascent_d_noisy,13,68.21034666666667,88.51207338859317,165.43835675015595,165.43835675015595,0.009676020566189679,0.9744335238095239,4,0,1,0,0
leo_fast_ho,orb,13,79.06730666666667,92.07379250713706,118.34900698171299,118.34900698171299,0.011020445193965172,1.1295329523809525,3,0,0,0,4500
leo_fast_ho,hybrid,13,68.33621333333333,72.22021174899915,96.0962470034846,118.86651745384903,0.010013413028562951,0.976231619047619,4,8,0,8,4500
leo_fast_ho,bbr,13,70.27498666666668,93.08929716289883,115.13091588138975,115.13091588138975,0.010022569564446474,1.0039283809523811,3,0,0,0,0
leo_fast_ho,cubic,13,8.18816,54.07349939816135,141.6417889240662,141.6417889240662,0.001300999167360533,0.11697371428571429,4,0,0,0,0
leo_fast_ho,endpoint,7,88.65237333333333,80.58812959831778,108.40870991576682,108.40870991576682,0.007717471763891211,1.2664624761904761,3,0,0,0,0
leo_fast_ho,ascent_plain,7,94.26688,79.55257575427395,110.45516211979104,110.45516211979104,0.006663069867817642,1.3466697142857142,4,8,0,8,0
leo_fast_ho,ascent_d,7,94.26688,79.55257575427395,110.45516211979104,110.45516211979104,0.006663069867817642,1.3466697142857142,4,8,0,8,0
leo_fast_ho,ascent_d_noisy,7,88.65237333333333,80.58812959831778,108.40870991576682,108.40870991576682,0.007717471763891211,1.2664624761904761,3,0,4,0,0
