era,window_id,cca,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,handovers,soft_qir_alpha
wetlinks_v1,w1_enschede_20231110T091227,CUBIC,29.57696,60.73500000000102,58.735,2.000000000001022,2.0000000000001834,1,0.2
wetlinks_v1,w1_enschede_20231110T091227,BBRv3approx,197.19488,60.73500000000102,58.735,2.000000000001022,2.000000000000204,1,0.2
wetlinks_v1,w1_enschede_20231110T091227,LeoAware,189.93152,60.73500000000102,58.735,2.000000000001022,2.000000000000213,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,CUBIC,3.5234133333333335,54.09900000000102,52.099,2.000000000001022,2.0000000000001776,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,BBRv3approx,196.00256,54.09900000000102,52.099,2.000000000001022,2.0000000000002043,1,0.2
wetlinks_v1,w2_enschede_20240215T153911,LeoAware,189.98144,54.09900000000102,52.099,2.000000000001022,2.0000000000002123,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,CUBIC,62.34261333333333,74.23800000000092,68.238,6.000000000000935,3.3136901971388792,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,BBRv3approx,64.72170666666666,76.23799999999841,68.238,7.999999999998411,6.08924033317684,1,0.2
wetlinks_v1,w3_osnabruck_20230930T061825,LeoAware,64.2384,74.23800000000307,68.238,6.000000000003072,5.739536891745518,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,CUBIC,93.32490666666668,66.86000000000104,64.86,2.0000000000010285,2.0036003250582533,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,BBRv3approx,189.89493333333334,66.86000000000104,64.86,2.0000000000010285,2.069533468332174,1,0.2
wetlinks_v1,w4_osnabruck_20231220T160942,LeoAware,180.00437333333335,66.86000000000104,64.86,2.0000000000010285,2.0690235081698054,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,CUBIC,3.5234133333333335,61.95200000000102,59.952,2.000000000001022,2.0000000000001776,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,BBRv3approx,161.74890666666667,63.95200000000205,59.952,4.000000000002051,2.4314018237982533,1,0.2
wetlinks_v1,w5_osnabruck_20240223T171843,LeoAware,159.35082666666665,63.95200000000205,59.952,4.000000000002051,2.4265104952496444,1,0.2
