scenario,cca,goodput_mean,goodput_std,p95_mean,p95_std,loss_mean,n
leo_fast_ho,BBRv3approx,70.88189866666667,11.470543079196283,138.83293205525692,33.02355999738642,0.01473490169902705,5
leo_fast_ho,CUBIC,5.472512,0.8610311838255337,124.80640476659596,13.594684650474065,0.0017419674653645911,5
leo_fast_ho,LeoAware,62.32379733333333,13.681574055896089,136.2280766070469,23.143139163194633,0.008672972479249802,5
terrestrial,BBRv3approx,78.812128,0.0019179989572467814,40.0,0.0,0.012272010365802909,5
terrestrial,CUBIC,13.915808000000002,0.8774463413337595,40.0,0.0,0.0005192575020772632,5
terrestrial,LeoAware,77.632416,0.18190918525462327,40.0,0.0,0.0007026646305930308,5
