scenario,cca,goodput_mean,goodput_std,p95_mean,p95_std,p95_path_mean,p95_excess_mean,loss_mean,n
leo_fast_ho,BBRv3approx,82.43904,9.695294558275851,76.66408239312553,13.392944442810668,70.7858934840344,9.600000000000222,0.014175668516813188,5
leo_fast_ho,CUBIC,8.568704,0.6272775217397797,71.62643106822586,12.644736161740374,69.62643106822597,2.000000000001023,0.001323768888218478,5
leo_fast_ho,LeoAware,81.99310933333334,9.372163105890413,76.2640823931256,13.235829304513672,70.7858934840344,9.600000000000222,0.012973015240043148,5
leo_single,BBRv3approx,83.316992,10.881830473051444,74.94621707074798,14.695633535999669,68.78090915274272,8.80000000000166,0.013063501935430672,5
leo_single,CUBIC,10.117205333333334,0.8852646058464352,70.7809091527436,12.901724020325453,68.78090915274272,2.000000000001026,0.0009573507941894328,5
leo_single,LeoAware,82.98107733333333,10.735191604100345,74.94621707074798,14.695633535999669,68.78090915274272,8.80000000000166,0.01180422630918711,5
terrestrial,BBRv3approx,78.912352,0.0018638454871550835,46.000000000000945,0.0,40.0,6.000000000000942,0.012289055979679556,5
terrestrial,CUBIC,13.303360000000001,0.9652493945090043,42.00000000000031,0.0,40.0,2.000000000000314,0.0005551754301382743,5
terrestrial,LeoAware,78.56105600000001,0.08693704204767838,46.000000000000945,0.0,40.0,6.000000000000942,0.010241655829061311,5
