scenario,seed,cca,path_profile,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,loss_rate,jain_fairness,handovers
leo_fast_ho,13,CUBIC,starlink_v1,9.410773333333333,50.00734919488747,70.21163933117613,70.21163933117613,68.2116393311751,2.0000000000010285,2.005463242128322,0.0011547867041028892,1.0,7
leo_fast_ho,13,BBRv3approx,starlink_v1,97.31434666666667,57.188366611943025,72.21163933117715,99.40991396971545,68.2116393311751,7.999999999998411,4.023649544788332,0.012191662462022863,1.0,7
leo_fast_ho,13,LeoAware,starlink_v1,96.26752,56.926785991583884,72.21163933117715,99.00009927561702,68.2116393311751,7.999999999998411,3.8757307414453748,0.010938214049703613,1.0,7
leo_fast_ho,7,CUBIC,starlink_v1,8.24064,47.96053049284404,63.96016278419523,65.81399906136353,61.960162784195624,2.000000000001022,2.0137206171690556,0.0013959981386691485,1.0,8
leo_fast_ho,7,BBRv3approx,starlink_v1,75.08416,54.800264874404405,67.81399906136456,99.1528695717581,63.81399906136251,10.000000000001563,5.220424654148619,0.015404369956652918,1.0,8
leo_fast_ho,7,LeoAware,starlink_v1,74.74197333333333,54.67088082641252,67.81399906136456,97.1528695717571,63.81399906136251,10.000000000001563,5.0942991782578915,0.013681931686058788,1.0,8
leo_fast_ho,42,CUBIC,starlink_v1,8.173333333333334,49.5415775683209,89.55511216494824,89.55511216494895,87.55511216494864,2.000000000001022,2.004750407830543,0.0013033561420658195,1.0,7
leo_fast_ho,42,BBRv3approx,starlink_v1,81.2496,54.05519625461227,97.55511216494665,97.5551121649502,87.55511216494864,9.99999999999801,4.825550238606802,0.014222762891400988,1.0,7
leo_fast_ho,42,LeoAware,starlink_v1,80.99456,54.038595959531996,97.55511216494665,97.5551121649502,87.55511216494864,9.999999999998003,4.76513846526697,0.01326776984512705,1.0,7
leo_fast_ho,99,CUBIC,starlink_v1,9.054293333333334,51.05299951200897,56.757375197692525,60.700850999569234,54.75737519769293,2.000000000001022,2.014490363319529,0.0012001976796178193,1.0,7
