era,window_id,cca,buffer_bytes,send_ceiling_mbps,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,handovers,soft_qir_alpha
leocc_v1,q00_A_downlink_001,CUBIC,1000000,800.0,49.88277333333333,33.99999999999996,32.0,2.000000000001022,2.012192853217713,0,0.2
leocc_v1,q25_A_downlink_600,CUBIC,1000000,800.0,51.606186666666666,34.00000000000102,32.0,2.000000000001022,2.012988623586421,0,0.2
leocc_v1,q25_A_downlink_600,BBRv3approx,1000000,800.0,338.53504,38.00000000000307,32.0,6.000000000003072,4.3093819771216655,0,0.2
leocc_v1,q00_A_downlink_001,BBRv3approx,1000000,800.0,408.3341866666667,35.999999999999915,32.0,4.000000000002047,3.653370977445541,0,0.2
leocc_v1,q25_A_downlink_600,LeoAware,1000000,800.0,344.6842666666667,38.00000000000307,32.0,6.000000000003072,3.750191479584525,0,0.2
leocc_v1,q00_A_downlink_001,LeoAwareCrest,1000000,800.0,409.4382933333333,35.999999999999204,32.0,4.000000000002047,3.23874581735953,0,0.2
leocc_v1,q50_B_downlink_600,CUBIC,1000000,800.0,29.562773333333332,61.999999999999595,60.0,2.000000000001022,2.0243044405398902,0,0.2
leocc_v1,q25_A_downlink_600,LeoAwareCrest,1000000,800.0,344.49664,38.00000000000307,32.0,6.000000000003072,3.737921004590469,0,0.2
leocc_v1,q00_A_downlink_001,LeoAware,1000000,800.0,409.64906666666667,35.999999999999204,32.0,4.000000000002047,3.244912328211071,0,0.2
leocc_v1,q75_C_downlink_599,CUBIC,1000000,800.0,16.284373333333335,110.00000000000102,108.0,2.0000000000010285,2.034139887073957,0,0.2
leocc_v1,q50_B_downlink_600,BBRv3approx,1000000,800.0,400.6034133333333,63.9999999999992,60.0,5.9999999999988045,3.895071355025636,0,0.2
leocc_v1,q75_C_downlink_599,BBRv3approx,1000000,800.0,393.2453333333333,112.00000000000307,108.0,5.999999999998812,3.92756806607621,0,0.2
leocc_v1,q50_B_downlink_600,LeoAware,1000000,800.0,392.3227733333333,63.9999999999992,60.0,5.9999999999988045,3.5900268241718485,0,0.2
leocc_v1,q50_B_downlink_600,LeoAwareCrest,1000000,800.0,391.11466666666666,63.9999999999992,60.0,5.9999999999988045,3.552948427741967,0,0.2
leocc_v1,q100_D_downlink_600,CUBIC,1000000,800.0,8.378773333333333,196.0,194.0,2.0000000000010285,2.055759952133236,0,0.2
leocc_v1,q75_C_downlink_599,LeoAwareCrest,1000000,800.0,340.20064,112.00000000000205,108.0,4.000000000002044,3.242635169646147,0,0.2
leocc_v1,q75_C_downlink_599,LeoAware,1000000,800.0,363.61184,112.00000000000307,108.0,5.999999999998812,3.474482825788839,0,0.2
leocc_v1,q100_D_downlink_600,BBRv3approx,1000000,800.0,358.2901333333333,198.00000000000307,194.0,6.000000000003059,4.181210013784438,0,0.2
leocc_v1,q100_D_downlink_600,LeoAwareCrest,1000000,800.0,204.60576,198.00000000000097,194.0,6.000000000003059,3.1175224001517967,0,0.2
leocc_v1,q100_D_downlink_600,LeoAware,1000000,800.0,284.43189333333333,198.00000000000207,194.0,6.000000000003059,3.5235343509537884,0,0.2
